"DestinationOrganization","DestinationOrganizationID"
"Handicap International - Humanity & Inclusion",4763
"Agency for Technical Cooperation and Development",2886
"Geneva Call",3583
"ActionAid International",3348
"Norwegian Refugee Council",2178
"Terre Sans Frontieres",9133
"International Committee of the Red Cross",2967
"Finnish Refugee Council",4832
"International Rescue Committee",3001
"Action Contre la Faim - Action Against Hunger International",4536
"Save the Children",2849
"KFW Development",6544
"Terre des Hommes International",4758
"Plan International",3369
"Christian Mission for Development",6472
"Jesuit Refugee Service",4024
"ACT Alliance / Lutheran World Federation",8522
"Smile Again Africa Development Organization",995
"World Vision South Sudan",8619
"World Vision International",1850
"Lutherian World Fund",943
"ACRA - Cooperazione Rurale in Africa e America Latina (Fondazione ACRA)",1045
"Help - Hilfe zur Selbsthilfe e.V.",4534
"Caritas Germany (DCV)",3162
"Danish Refugee Council",5298
"ACT Alliance / Diakonie Emergency Aid",8477
"World Vision Ethiopia",8072
"Terre des Hommes - Lausanne",8618
"Oxfam GB",8582
"ACT Alliance / Finn Church Aid",8500
"Cooperazione Internazionale - COOPI",4309
"Malteser International Order of Malta World Relief",173
"Mercy Corps",4305
"Ayuda en Acción",1883
"Adventist Development and Relief Agency",4695
"African Revival",13605
"Africa Development Aid",8158
