ReportingOrgID,ReportingOrgName,SourceOrganizationID,SourceOrganization
AU-5,Australia - Department of  Foreign Affairs and Trade,4391,"Australia, Government of"
CA-3,Canada - Global Affairs Canada | Affaires mondiales Canada,2928,"Canada, Government of"
CH-4,Switzerland - Swiss Agency for Development and Cooperation (SDC),2924,"Switzerland, Government of"
DE-1,Germany - Ministry for Economic Cooperation and Development,4306,"Germany, Government of"
ES-DIR3-E04585801,Spain - Ministry of Foreign Affairs and Cooperation,5319,"Spain, Government of"
FI-3,Finland - Ministry for Foreign Affairs,5295,"Finland, Government of"
FR-3,Agence Française de Développement,4314,"France, Government of"
FR-6,France - Ministry for Europe and Foreign Affairs,4314,"France, Government of"
GB-GOV-1,"UK - Foreign, Commonwealth and Development Office",2917,"United Kingdom, Government of"
GB-GOV-13,"UK - Department for Business, Energy and Industrial Strategy (BEIS)",2917,"United Kingdom, Government of"
GB-GOV-6,UK - Home Office,2917,"United Kingdom, Government of"
NL-KVK-27378529,Netherlands Enterprise Agency (RVO),3008,"Netherlands, Government of"
NO-BRC-971277882,Norad - Norwegian Agency for Development Cooperation,2930,"Norway, Government of"
SE-0,"Sweden, through Swedish International Development Cooperation Agency (Sida)",2921,"Sweden, Government of"
US-GOV-1,United States Agency for International Development (USAID),2933,"United States of America, Government of"
XI-IATI-EC_ECHO,European Commission - Humanitarian Aid & Civil Protection,2966,European Commission
XI-IATI-IADB,Inter-American Development Bank,3788,Inter-American Development Bank
XM-DAC-21-1,DFAT / Irish Aid,3009,"Ireland, Government of"
XM-DAC-3-1,"Denmark - Ministry of Foreign Affairs, Danida",3776,"Denmark, Government of"
XM-DAC-41121,United Nations High Commissioner for Refugees (UNHCR),4397,United Nations High Commissioner for Refugees
XM-DAC-41122,United Nations Children's Fund (UNICEF),2915,United Nations Children's Fund
XM-DAC-41302,International Labour Organization (ILO),2994,International Labour Organization
XM-DAC-46002,African Development Bank,3787,African Development Bank
XM-DAC-46025,Islamic Development Bank,110,Islamic Development Bank
XM-DAC-50-21,Spanish Agency for International Development Cooperation (AECID),5319,"Spain, Government of"
XM-DAC-5-7,Germany - Federal Foreign Office,4306,"Germany, Government of"
XM-DAC-6-4,AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,3774,"Italy, Government of"
XM-DAC-7,Netherlands - Ministry of Foreign Affairs,3008,"Netherlands, Government of"
XM-DAC-701-2,Ministry of Foreign Affairs of  Japan,4537,"Japan, Government of"
XM-OCHA-CBPF,OCHA Country Based Pooled Funds,4396,Office for the Coordination of Humanitarian Affairs
XM-OCHA-CERF,United Nations Central Emergency Response Fund (CERF),4396,Office for the Coordination of Humanitarian Affairs
XM-OCHA-HPC6770,King Salman Humanitarian Aid and Relief Centre,2998,"Saudi Arabia (Kingdom of), Government of"
XM-OCHA-HPC8773,Education Cannot Wait Fund,8773,Education Cannot Wait Fund
41AAA,United Nations Office for Project Services (UNOPS),8,United Nations Office for Project Services
XM-DAC-77,Romania Ministry of Foreign Affairs,89,"Romania, Government of"
XM-DAC-69-1,Ministry of Foreign and European Affairs of the Slovak Republic,93,"Slovakia, Government of"
XM-DAC-576,Ministry of Foreign Affairs - United Arab Emirates (UAE),100,"United Arab Emirates, Government of"
XM-DAC-84,"Lithuania, Ministry of Foreign Affairs",3272,"Lithuania, Government of"
XM-DAC-2-10,Belgian Development Cooperation,2927,"Belgium, Government of"
