"ReportingOrgName","SourceOrganization","TransactionProviderName","RecipientOrgName","DestinationOrganization"
"Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ), EN: Federal Ministry for Economic Cooperation and Development (BMZ)","Germany, Government of",NA,"",""
"African Development Bank","African Development Bank","African Development Fund","Ministry of Education","Ministry of Education"
"African Development Fund","African Development Bank","African Development Fund","Ministry of Labour and Social Affairs (MoLSA)","Ministry of Labour and Social Affairs (MoLSA)"
"Transition Support Facility","World Bank","Transition Support Facility","Ministry of Labour and Social Affairs (MoLSA)","Ministry of Labour and Social Affairs (MoLSA)"
"African Development Bank","African Development Bank","Transition Support Facility","Ministry of Interior (Commissioner for Refugee Affairs)","Ministry of Interior (Commissioner for Refugee Affairs)"
"Transition Support Facility","World Bank","Transition Support Facility","Ministry of Education","Ministry of Education"
"Ministry of Foreign Affairs, Denmark","Denmark, Government of","Ministry of Foreign Affairs, Denmark","Dansk Flygtningehjælp","Dansk Flygtningehjælp"
"Ministry of Foreign Affairs, Denmark","Denmark, Government of","Ministry of Foreign Affairs, Denmark","",""
"Department for Environment, Food, and Rural Affairs","United Kingdom, Government of","Department for Environment, Food, and Rural Affairs","OCPP","OCPP"
"Department for Environment, Food, and Rural Affairs","United Kingdom, Government of","Department for Environment, Food, and Rural Affairs","World Economic Forum","World Economic Forum"
"Department for Environment, Food, and Rural Affairs","United Kingdom, Government of","Department for Environment, Food, and Rural Affairs","Global Ocean Accounts Partnership","Global Ocean Accounts Partnership"
"Department for Environment, Food, and Rural Affairs","United Kingdom, Government of","Department for Environment, Food, and Rural Affairs","Cefas","Cefas"
"Department for Environment, Food, and Rural Affairs","United Kingdom, Government of","Department for Environment, Food, and Rural Affairs","JNCC","JNCC"
"Department for Environment, Food, and Rural Affairs","United Kingdom, Government of","Department for Environment, Food, and Rural Affairs","MMO","MMO"
"Ministry of Foreign Affairs, Denmark","Denmark, Government of","Ministry of Foreign Affairs, Denmark","Bangladesh Rural Advancement Committee","Bangladesh Rural Advancement Committee"
