RecipientCountryCode,Year,ReportingOrgID,ReportingOrgName,ReportingOrgType,TransactionProviderID,TransactionProviderName,TransactionProviderType,checkID,ReportingOrgIDRevised,ReportingOrgNameRevised,ReportingOrgTypeRevised
NG,2022,GB-CHC-209131,BRITISH COUNCIL,15,GB-CHC-209131,British Council,15,NG-2022-GB-CHC-209131-BRITISH COUNCIL-GB-CHC-209131-British Council,GB-CHC-209131,British Council,15
NG,2021,GB-CHC-209131,BRITISH COUNCIL,15,GB-CHC-209131,British Council,15,NG-2021-GB-CHC-209131-BRITISH COUNCIL-GB-CHC-209131-British Council,GB-CHC-209132,British Council,15
CD,2021,BE-BCE_KBO-0417549465,Coopération Education Culture,22,BE-BCE_KBO-0417549465 ,Coopération par l’Éducation et la Culture,22,CD-2021-BE-BCE_KBO-0417549465-Coopération Education Culture-BE-BCE_KBO-0417549465 -Coopération par l’Éducation et la Culture,BE-BCE_KBO-0417549465 ,Coopération Education Culture,22
ET,2021,GB-CHC-328434,ChildHopeUK,21,GB-CHC-328434,ChildHope UK,21,ET-2021-GB-CHC-328434-ChildHopeUK-GB-CHC-328434-ChildHope UK,GB-CHC-328434,ChildHopeUK,21
ET,2021,GB-CHC-1092236,Concern Worldwide UK,21,GB-CHC-1092236,Concern Worldwide (UK),NA,ET-2021-GB-CHC-1092236-Concern Worldwide UK-GB-CHC-1092236-Concern Worldwide (UK),GB-CHC-1092236,Concern Worldwide UK,21
NG,2022,GB-COH-1858644,DAI Global UK,70,DAI-COH-1858644,DAI EUROPE LTD,NA,NG-2022-GB-COH-1858644-DAI Global UK-DAI-COH-1858644-DAI EUROPE LTD,DAI-COH-1858644,DAI Global UK,70
NG,2022,GB-COH-1858644,DAI Global UK,70,DAI-COH-1858644,NA,NA,NG-2022-GB-COH-1858644-DAI Global UK-DAI-COH-1858644-NA,DAI-COH-1858644,DAI Global UK,70
NG,2021,GB-COH-1858644,DAI Global UK,70,DAI-COH-1858644,DAI EUROPE LTD,NA,NG-2021-GB-COH-1858644-DAI Global UK-DAI-COH-1858644-DAI EUROPE LTD,DAI-COH-1858644,DAI Global UK,70
CD,2022,XI-IATI-EC_INTPA,European Commission - Directorate-General for International Partnerships,15,XI-IATI-EC_INTPA,European Commission - Directorate General for International Partnerships,15,CD-2022-XI-IATI-EC_INTPA-European Commission - Directorate-General for International Partnerships-XI-IATI-EC_INTPA-European Commission - Directorate General for International Partnerships,XI-IATI-EC_INTPA,European Commission - Directorate General for International Partnerships,15
CD,2023,XI-IATI-EC_INTPA,European Commission - Directorate-General for International Partnerships,15,XI-IATI-EC_INTPA,European Commission - Directorate General for International Partnerships,15,CD-2023-XI-IATI-EC_INTPA-European Commission - Directorate-General for International Partnerships-XI-IATI-EC_INTPA-European Commission - Directorate General for International Partnerships,XI-IATI-EC_INTPA,European Commission - Directorate General for International Partnerships,15
ET,2021,XI-IATI-EC_INTPA,European Commission - Directorate-General for International Partnerships,15,XI-IATI-EC_INTPA,European Commission - Directorate General for International Partnerships,15,ET-2021-XI-IATI-EC_INTPA-European Commission - Directorate-General for International Partnerships-XI-IATI-EC_INTPA-European Commission - Directorate General for International Partnerships,XI-IATI-EC_INTPA,European Commission - Directorate General for International Partnerships,15
ET,2022,XI-IATI-EC_INTPA,European Commission - Directorate-General for International Partnerships,15,XI-IATI-EC_INTPA,European Commission - Directorate General for International Partnerships,15,ET-2022-XI-IATI-EC_INTPA-European Commission - Directorate-General for International Partnerships-XI-IATI-EC_INTPA-European Commission - Directorate General for International Partnerships,XI-IATI-EC_INTPA,European Commission - Directorate General for International Partnerships,15
HT,2023,XI-IATI-EC_INTPA,European Commission - Directorate-General for International Partnerships,15,XI-IATI-EC_INTPA,European Commission - Directorate General for International Partnerships,15,HT-2023-XI-IATI-EC_INTPA-European Commission - Directorate-General for International Partnerships-XI-IATI-EC_INTPA-European Commission - Directorate General for International Partnerships,XI-IATI-EC_INTPA,European Commission - Directorate General for International Partnerships,15
HT,2022,XI-IATI-EC_INTPA,European Commission - Directorate-General for International Partnerships,15,XI-IATI-EC_INTPA,European Commission - Directorate General for International Partnerships,15,HT-2022-XI-IATI-EC_INTPA-European Commission - Directorate-General for International Partnerships-XI-IATI-EC_INTPA-European Commission - Directorate General for International Partnerships,XI-IATI-EC_INTPA,European Commission - Directorate General for International Partnerships,15
NG,2022,XI-IATI-EC_INTPA,European Commission - Directorate-General for International Partnerships,15,XI-IATI-EC_INTPA,European Commission - Directorate General for International Partnerships,15,NG-2022-XI-IATI-EC_INTPA-European Commission - Directorate-General for International Partnerships-XI-IATI-EC_INTPA-European Commission - Directorate General for International Partnerships,XI-IATI-EC_INTPA,European Commission - Directorate General for International Partnerships,15
